City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Abington,08/05/2020,248,6,No Change,3264,349,6,1.72%
Acton,08/05/2020,174,<5,No Change,4182,667,4,0.60%
Acushnet,08/05/2020,103,<5,Decrease,1746,212,4,1.89%
Adams,08/05/2020,35,0,No Change,1147,208,0,0%
Agawam,08/05/2020,506,19,Decrease,6865,1034,25,2.42%
Alford,08/05/2020,<5,0,No Change,36,4,0,0%
Amesbury,08/05/2020,193,<5,Decrease,3438,492,3,0.61%
Amherst,08/05/2020,115,10,Increase,4297,729,11,1.51%
Andover,08/05/2020,331,11,Increase,7565,1240,11,0.89%
Aquinnah,08/05/2020,<5,0,No Change,114,20,0,0%
Arlington,08/05/2020,324,<5,Decrease,8707,1387,7,0.50%
Ashburnham,08/05/2020,34,<5,Increase,1070,147,1,0.68%
Ashby,08/05/2020,15,0,No Change,469,61,0,0%
Ashfield,08/05/2020,<5,0,No Change,227,32,0,0%
Ashland,08/05/2020,262,8,No Change,3630,630,19,3.02%
Athol,08/05/2020,69,<5,Decrease,2718,393,1,0.25%
Attleboro,08/05/2020,700,18,Increase,7984,713,21,2.95%
Auburn,08/05/2020,232,10,Increase,3401,417,10,2.40%
Avon,08/05/2020,81,<5,Decrease,979,119,2,1.68%
Ayer,08/05/2020,146,<5,No Change,3821,319,4,1.25%
Barnstable,08/05/2020,400,14,Decrease,8487,1142,15,1.31%
Barre,08/05/2020,62,0,No Change,999,136,0,0%
Becket,08/05/2020,16,0,No Change,259,39,0,0%
Bedford,08/05/2020,253,6,Increase,6949,670,8,1.19%
Belchertown,08/05/2020,125,12,Decrease,2476,453,12,2.65%
Bellingham,08/05/2020,143,<5,No Change,2788,423,1,0.24%
Belmont,08/05/2020,242,7,Increase,4864,802,8,1.00%
Berkley,08/05/2020,76,<5,Increase,1208,143,5,3.50%
Berlin,08/05/2020,21,0,Decrease,596,98,0,0%
Bernardston,08/05/2020,7,0,No Change,352,61,0,0%
Beverly,08/05/2020,644,12,Decrease,8818,1116,15,1.34%
Billerica,08/05/2020,593,9,Decrease,8610,1204,14,1.16%
Blackstone,08/05/2020,61,<5,Increase,1458,192,5,2.60%
Blandford,08/05/2020,<5,0,No Change,129,17,0,0%
Bolton,08/05/2020,12,<5,Increase,865,166,1,0.60%
Boston,08/05/2020,15001,440,Increase,181874,24898,538,2.16%
Bourne,08/05/2020,165,<5,Decrease,4057,573,1,0.17%
Boxborough,08/05/2020,28,<5,Increase,858,165,2,1.21%
Boxford,08/05/2020,49,<5,Decrease,1390,252,3,1.19%
Boylston,08/05/2020,23,<5,No Change,801,124,1,0.81%
Braintree,08/05/2020,836,6,Decrease,8823,872,7,0.80%
Brewster,08/05/2020,115,<5,Decrease,2108,369,5,1.36%
Bridgewater,08/05/2020,363,<5,Decrease,6566,581,4,0.69%
Brimfield,08/05/2020,9,<5,Decrease,514,89,1,1.12%
Brockton,08/05/2020,4426,79,Increase,29476,2540,130,5.12%
Brookfield,08/05/2020,22,<5,No Change,582,117,3,2.56%
Brookline,08/05/2020,425,16,Increase,11245,2003,17,0.85%
Buckland,08/05/2020,8,0,No Change,49,3,0,0%
Burlington,08/05/2020,276,6,Increase,4943,641,7,1.09%
Cambridge,08/05/2020,1034,33,Increase,35422,5500,44,0.80%
Canton,08/05/2020,311,11,Increase,5818,821,15,1.83%
Carlisle,08/05/2020,20,<5,Increase,819,158,1,0.63%
Carver,08/05/2020,65,<5,Increase,1991,231,5,2.16%
Charlemont,08/05/2020,<5,<5,Increase,201,27,2,7.41%
Charlton,08/05/2020,100,10,Decrease,2833,556,10,1.80%
Chatham,08/05/2020,22,0,Decrease,1155,144,0,0%
Chelmsford,08/05/2020,357,7,Decrease,8432,1193,11,0.92%
Chelsea,08/05/2020,3106,93,Increase,17268,2274,112,4.93%
Cheshire,08/05/2020,<5,0,No Change,487,111,0,0%
Chester,08/05/2020,<5,0,No Change,164,23,0,0%
Chesterfield,08/05/2020,<5,0,No Change,141,24,0,0%
Chicopee,08/05/2020,541,43,Decrease,10281,1519,58,3.82%
