Report Date,Code,Name,Students,Staff
09/30/2020,00010000,Abington,0,1
09/30/2020,00030000,Acushnet,0,0
09/30/2020,00050000,Agawam,0,0
09/30/2020,00070000,Amesbury,0,0
09/30/2020,00080000,Amherst,0,0
09/30/2020,00090000,Andover,1,1
09/30/2020,00100000,Arlington,0,0
09/30/2020,00140000,Ashland,0,0
09/30/2020,00160000,Attleboro,3,1
09/30/2020,00170000,Auburn,0,0
09/30/2020,00180000,Avon,0,0
09/30/2020,00200000,Barnstable,0,0
09/30/2020,00230000,Bedford,1,0
09/30/2020,00240000,Belchertown,0,0
09/30/2020,00250000,Bellingham,0,1
09/30/2020,00260000,Belmont,0,1
09/30/2020,00270000,Berkley,0,0
09/30/2020,00300000,Beverly,0,0
09/30/2020,00310000,Billerica,0,0
09/30/2020,00350000,Boston,0,0
09/30/2020,00360000,Bourne,0,0
09/30/2020,00380000,Boxford,0,0
09/30/2020,00400000,Braintree,0,0
09/30/2020,00410000,Brewster,0,0
09/30/2020,00430000,Brimfield,0,0
09/30/2020,00440000,Brockton,0,3
09/30/2020,00450000,Brookfield,0,0
09/30/2020,00460000,Brookline,0,2
09/30/2020,00480000,Burlington,0,0
09/30/2020,00490000,Cambridge,0,0
09/30/2020,00500000,Canton,0,0
09/30/2020,00510000,Carlisle,0,0
09/30/2020,00520000,Carver,0,0
09/30/2020,00560000,Chelmsford,3,0
09/30/2020,00570000,Chelsea,0,0
09/30/2020,00610000,Chicopee,0,0
09/30/2020,00630000,Clarksburg,0,0
09/30/2020,00640000,Clinton,0,0
09/30/2020,00650000,Cohasset,0,0
09/30/2020,00670000,Concord,0,0
09/30/2020,00680000,Conway,0,0
09/30/2020,00710000,Danvers,0,0
09/30/2020,00720000,Dartmouth,0,0
09/30/2020,00730000,Dedham,0,0
09/30/2020,00740000,Deerfield,0,0
09/30/2020,00770000,Douglas,0,0
09/30/2020,00780000,Dover,0,0
09/30/2020,00790000,Dracut,0,0
09/30/2020,00820000,Duxbury,0,0
09/30/2020,00830000,East Bridgewater,1,1
09/30/2020,00850000,Eastham,0,0
09/30/2020,00860000,Easthampton,0,0
09/30/2020,00870000,East Longmeadow,0,0
09/30/2020,00880000,Easton,0,0
09/30/2020,00890000,Edgartown,0,0
09/30/2020,00910000,Erving,0,0
09/30/2020,00930000,Everett,0,1
09/30/2020,00940000,Fairhaven,2,0
09/30/2020,00950000,Fall River,0,0
09/30/2020,00960000,Falmouth,0,0
09/30/2020,00970000,Fitchburg,0,0
09/30/2020,00980000,Florida,0,0
09/30/2020,00990000,Foxborough,0,0
09/30/2020,01000000,Framingham,0,0
09/30/2020,01010000,Franklin,0,0
09/30/2020,01030000,Gardner,0,0
09/30/2020,01050000,Georgetown,0,0
09/30/2020,01070000,Gloucester,2,0
09/30/2020,01090000,Gosnold,0,0
09/30/2020,01100000,Grafton,0,0
09/30/2020,01110000,Granby,0,0
09/30/2020,01140000,Greenfield,0,0
09/30/2020,01170000,Hadley,0,0
09/30/2020,01180000,Halifax,0,0
09/30/2020,01210000,Hancock,0,0
09/30/2020,01220000,Hanover,0,0
09/30/2020,01250000,Harvard,0,0
09/30/2020,01270000,Hatfield,0,0
09/30/2020,01280000,Haverhill,0,0
09/30/2020,01310000,Hingham,0,0
09/30/2020,01330000,Holbrook,0,0
09/30/2020,01350000,Holland,0,0
09/30/2020,01360000,Holliston,0,0
09/30/2020,01370000,Holyoke,1,1
09/30/2020,01380000,Hopedale,0,0
09/30/2020,01390000,Hopkinton,2,0
09/30/2020,01410000,Hudson,0,0
09/30/2020,01420000,Hull,1,0
09/30/2020,01440000,Ipswich,0,0
09/30/2020,01450000,Kingston,0,0
09/30/2020,01490000,Lawrence,0,1
09/30/2020,01500000,Lee,0,0
09/30/2020,01510000,Leicester,1,0
09/30/2020,01520000,Lenox,0,0
09/30/2020,01530000,Leominster,0,0
09/30/2020,01540000,Leverett,0,0
09/30/2020,01550000,Lexington,0,0
09/30/2020,01570000,Lincoln,0,0
09/30/2020,01580000,Littleton,0,0
09/30/2020,01590000,Longmeadow,0,0
09/30/2020,01600000,Lowell,1,0
09/30/2020,01610000,Ludlow,0,0
09/30/2020,01620000,Lunenburg,0,0
09/30/2020,01630000,Lynn,1,0
09/30/2020,01640000,Lynnfield,0,0
09/30/2020,01650000,Malden,0,0
09/30/2020,01670000,Mansfield,0,0
09/30/2020,01680000,Marblehead,0,0
09/30/2020,01690000,Marion,0,0
09/30/2020,01700000,Marlborough,2,0
09/30/2020,01710000,Marshfield,2,0
09/30/2020,01720000,Mashpee,0,0
09/30/2020,01730000,Mattapoisett,0,0
09/30/2020,01740000,Maynard,0,0
09/30/2020,01750000,Medfield,0,0
09/30/2020,01760000,Medford,0,1
09/30/2020,01770000,Medway,1,0
09/30/2020,01780000,Melrose,0,0
09/30/2020,01810000,Methuen,0,0
09/30/2020,01820000,Middleborough,0,0
09/30/2020,01840000,Middleton,0,0
09/30/2020,01850000,Milford,0,0
09/30/2020,01860000,Millbury,0,0
09/30/2020,01870000,Millis,0,0
09/30/2020,01890000,Milton,0,0
09/30/2020,01910000,Monson,0,0
09/30/2020,01960000,Nahant,0,0
09/30/2020,01970000,Nantucket,0,0
09/30/2020,01980000,Natick,1,1
09/30/2020,01990000,Needham,0,0
09/30/2020,02010000,New Bedford,0,0
09/30/2020,02040000,Newburyport,1,0
09/30/2020,02070000,Newton,0,0
09/30/2020,02080000,Norfolk,0,0
09/30/2020,02090000,North Adams,0,0
09/30/2020,02100000,Northampton,0,0
09/30/2020,02110000,North Andover,0,0
09/30/2020,02120000,North Attleborough,0,0
09/30/2020,02130000,Northborough,0,0
09/30/2020,02140000,Northbridge,0,0
09/30/2020,02150000,North Brookfield,0,0
09/30/2020,02170000,North Reading,0,0
09/30/2020,02180000,Norton,0,0
09/30/2020,02190000,Norwell,0,0
09/30/2020,02200000,Norwood,0,0
09/30/2020,02210000,Oak Bluffs,0,0
09/30/2020,02230000,Orange,0,0
09/30/2020,02240000,Orleans,0,0
09/30/2020,02260000,Oxford,0,0
09/30/2020,02270000,Palmer,0,0
09/30/2020,02290000,Peabody,1,0
09/30/2020,02300000,Pelham,0,0
09/30/2020,02310000,Pembroke,0,0
09/30/2020,02340000,Petersham,0,0
09/30/2020,02360000,Pittsfield,0,0
09/30/2020,02380000,Plainville,0,0
09/30/2020,02390000,Plymouth,4,0
09/30/2020,02400000,Plympton,0,0
09/30/2020,02420000,Provincetown,0,0
09/30/2020,02430000,Quincy,2,0
09/30/2020,02440000,Randolph,0,0
09/30/2020,02460000,Reading,0,0
09/30/2020,02480000,Revere,0,0
09/30/2020,02490000,Richmond,0,0
09/30/2020,02500000,Rochester,0,0
09/30/2020,02510000,Rockland,0,0
09/30/2020,02520000,Rockport,0,0
09/30/2020,02530000,Rowe,0,0
09/30/2020,02580000,Salem,0,0
09/30/2020,02610000,Sandwich,0,0
09/30/2020,02620000,Saugus,0,0
09/30/2020,02630000,Savoy,0,0
09/30/2020,02640000,Scituate,0,0
09/30/2020,02650000,Seekonk,0,0
09/30/2020,02660000,Sharon,0,0
09/30/2020,02690000,Sherborn,0,0
09/30/2020,02710000,Shrewsbury,2,1
09/30/2020,02720000,Shutesbury,0,0
09/30/2020,02730000,Somerset,0,0
09/30/2020,02740000,Somerville,0,0
09/30/2020,02750000,Southampton,0,0
09/30/2020,02760000,Southborough,0,0
09/30/2020,02770000,Southbridge,0,0
09/30/2020,02780000,South Hadley,0,0
09/30/2020,02810000,Springfield,0,0
09/30/2020,02840000,Stoneham,0,0
09/30/2020,02850000,Stoughton,0,0
09/30/2020,02870000,Sturbridge,0,0
09/30/2020,02880000,Sudbury,0,0
09/30/2020,02890000,Sunderland,0,0
09/30/2020,02900000,Sutton,0,0
09/30/2020,02910000,Swampscott,0,0
09/30/2020,02920000,Swansea,0,0
09/30/2020,02930000,Taunton,0,0
09/30/2020,02950000,Tewksbury,1,0
09/30/2020,02960000,Tisbury,0,0
09/30/2020,02980000,Topsfield,0,0
09/30/2020,03000000,Truro,0,0
09/30/2020,03010000,Tyngsborough,0,0
09/30/2020,03040000,Uxbridge,0,0
09/30/2020,03050000,Wakefield,0,0
09/30/2020,03060000,Wales,0,0
09/30/2020,03070000,Walpole,1,3
09/30/2020,03080000,Waltham,1,0
09/30/2020,03090000,Ware,0,0
09/30/2020,03100000,Wareham,0,0
09/30/2020,03140000,Watertown,0,0
09/30/2020,03150000,Wayland,0,0
09/30/2020,03160000,Webster,0,0
09/30/2020,03170000,Wellesley,0,0
09/30/2020,03180000,Wellfleet,0,0
09/30/2020,03210000,Westborough,0,0
09/30/2020,03220000,West Boylston,0,0
09/30/2020,03230000,West Bridgewater,0,0
09/30/2020,03250000,Westfield,0,1
09/30/2020,03260000,Westford,0,0
09/30/2020,03270000,Westhampton,0,0
09/30/2020,03300000,Weston,0,0
09/30/2020,03310000,Westport,0,0
