Code,District Name,Total Enrollment
0001,Abington,2117
0003,Acushnet,910
0005,Agawam,3508
0007,Amesbury,1852
0008,Amherst,1029
0009,Andover,5574
0010,Arlington,5755
0014,Ashland,2729
0016,Attleboro,5752
0017,Auburn,2518
0018,Avon,683
0020,Barnstable,4713
0023,Bedford,2615
0024,Belchertown,2149
0025,Bellingham,1984
0026,Belmont,4420
0027,Berkley,864
0030,Beverly,4633
0031,Billerica,4569
0035,Boston,48112
0036,Bourne,1650
0038,Boxford,679
0040,Braintree,5456
0041,Brewster,420
0043,Brimfield,269
0044,Brockton,15384
0045,Brookfield,266
0046,Brookline,6891
0048,Burlington,3388
0049,Cambridge,6678
0050,Canton,3164
0051,Carlisle,579
0052,Carver,1476
0056,Chelmsford,4826
0057,Chelsea,5936
0061,Chicopee,6850
0063,Clarksburg,190
0064,Clinton,1827
0065,Cohasset,1448
0067,Concord,2001
0068,Conway,125
0071,Danvers,3309
0072,Dartmouth,3419
0073,Dedham,2556
0074,Deerfield,311
0077,Douglas,1151
0078,Dover,475
0079,Dracut,3659
0082,Duxbury,2790
0083,East Bridgewater,2082
0085,Eastham,194
0086,Easthampton,1445
0087,East Longmeadow,2404
0088,Easton,3410
0089,Edgartown,382
0091,Erving,113
0093,Everett,6883
0094,Fairhaven,1918
0095,Fall River,9998
0096,Falmouth,3029
0097,Fitchburg,5116
0098,Florida,80
0099,Foxborough,2450
0100,Framingham,8733
0101,Franklin,4830
0103,Gardner,2211
0105,Georgetown,1218
0107,Gloucester,2766
0109,Gosnold,4
0110,Grafton,3121
0111,Granby,716
0114,Greenfield,1545
0117,Hadley,506
0118,Halifax,569
0121,Hancock,57
0122,Hanover,2614
0125,Harvard,1006
0127,Hatfield,397
0128,Haverhill,7771
0131,Hingham,3894
0133,Holbrook,1268
0135,Holland,194
0136,Holliston,2754
0137,Holyoke,5153
0138,Hopedale,1099
0139,Hopkinton,3932
0141,Hudson,2416
0142,Hull,802
0144,Ipswich,1594
0145,Kingston,1035
0149,Lawrence,12842
0150,Lee,683
0151,Leicester,1374
0152,Lenox,750
0153,Leominster,5859
0154,Leverett,116
0155,Lexington,6901
0157,Lincoln,1048
0158,Littleton,1553
0159,Longmeadow,2751
0160,Lowell,14023
0161,Ludlow,2383
0162,Lunenburg,1593
0163,Lynn,15587
0164,Lynnfield,2167
0165,Malden,6120
0167,Mansfield,3504
0168,Marblehead,2704
0169,Marion,396
0170,Marlborough,4682
0171,Marshfield,3760
0172,Mashpee,1468
0173,Mattapoisett,405
0174,Maynard,1179
0175,Medfield,2511
0176,Medford,3943
0177,Medway,2074
0178,Melrose,3701
0181,Methuen,6450
0182,Middleborough,2916
0184,Middleton,678
0185,Milford,4235
0186,Millbury,1587
0187,Millis,1156
0189,Milton,4355
0191,Monson,858
0196,Nahant,147
0197,Nantucket,1666
0198,Natick,5251
0199,Needham,5483
0201,New Bedford,12565
0204,Newburyport,2126
0207,Newton,12024
0208,Norfolk,987
0209,North Adams,1223
0210,Northampton,2579
0211,North Andover,4510
0212,North Attleborough,3936
0213,Northborough,1527
0214,Northbridge,1924
0215,North Brookfield,503
0217,North Reading,2309
0218,Norton,2358
0219,Norwell,2182
0220,Norwood,3387
0221,Oak Bluffs,414
0223,Orange,465
0224,Orleans,175
0226,Oxford,1458
0227,Palmer,1188
0229,Peabody,5776
0230,Pelham,107
0231,Pembroke,2599
0234,Petersham,123
0236,Pittsfield,5012
0238,Plainville,623
0239,Plymouth,7085
0240,Plympton,209
0242,Provincetown,133
0243,Quincy,9480
0244,Randolph,2660
0246,Reading,3951
0248,Revere,7166
0249,Richmond,152
0250,Rochester,476
0251,Rockland,2179
0252,Rockport,762
0253,Rowe,63
0258,Salem,3734
0261,Sandwich,2326
0262,Saugus,2297
0263,Savoy,44
0264,Scituate,2851
0265,Seekonk,2047
0266,Sharon,3493
0269,Sherborn,391
0271,Shrewsbury,5974
0272,Shutesbury,112
0273,Somerset,1606
0274,Somerville,4691
0275,Southampton,448
0276,Southborough,1216
0277,Southbridge,1866
0278,South Hadley,1763
0281,Springfield,24239
0284,Stoneham,2254
0285,Stoughton,3386
0287,Sturbridge,792
0288,Sudbury,2521
0289,Sunderland,184
0290,Sutton,1279
0291,Swampscott,2132
0292,Swansea,2016
0293,Taunton,7735
0295,Tewksbury,3182
0296,Tisbury,289
0298,Topsfield,586
0300,Truro,113
0301,Tyngsborough,1561
0304,Uxbridge,1639
0305,Wakefield,3309
0306,Wales,124
0307,Walpole,3655
0308,Waltham,5507
0309,Ware,1140
0310,Wareham,1988
0314,Watertown,2526
0315,Wayland,2700
0316,Webster,1682
0317,Wellesley,4432
0318,Wellfleet,103
0321,Westborough,3825
0322,West Boylston,888
0323,West Bridgewater,1374
0325,Westfield,4931
0326,Westford,4714
0327,Westhampton,104
0330,Weston,1906
0331,Westport,1355
0332,West Springfield,3913
0335,Westwood,2952
0336,Weymouth,5585
0337,Whately,116
0340,Williamsburg,119
0342,Wilmington,2830
0343,Winchendon,1178
0344,Winchester,4496
0346,Winthrop,1865
0347,Woburn,4279
0348,Worcester,23986
0349,Worthington,63
0350,Wrentham,862
0406,Northampton-Smith Vocational Agricultural,528
0407,Dudley Street Neighborhood Charter School (District),294
0409,Alma del Mar Charter School (District),797
0410,Excel Academy Charter (District),1389
0411,Boston Green Academy Horace Mann Charter School (District),509
0412,Academy Of the Pacific Rim Charter Public (District),540
0413,Four Rivers Charter Public (District),215
0414,Berkshire Arts and Technology Charter Public (District),372
0416,Boston Preparatory Charter Public (District),671
0417,Bridge Boston Charter School (District),338
0418,Christa McAuliffe Charter Public (District),399
0419,Helen Y. Davis Leadership Academy Charter Public (District),193
0420,Benjamin Banneker Charter Public (District),344
0424,Boston Day and Evening Academy Charter (District),356
0426,Community Day Charter Public School - Gateway (District),400
0428,Brooke Charter School (District),2053
0429,KIPP Academy Lynn Charter (District),1615
0430,Advanced Math and Science Academy Charter (District),966
0431,Community Day Charter Public School - R. Kingman Webster (District),400
0432,Cape Cod Lighthouse Charter (District),250
0435,Innovation Academy Charter (District),790
0436,Community Charter School of Cambridge (District),304
0437,City on a Hill Charter Public School Circuit Street (District),299
0438,Codman Academy Charter Public (District),348
0439,Conservatory Lab Charter (District),457
0440,Community Day Charter Public School - Prospect (District),399
0441,Sabis International Charter (District),1557
0444,Neighborhood House Charter (District),810
0445,Abby Kelley Foster Charter Public (District),1425
0446,Foxborough Regional Charter (District),1714
0447,Benjamin Franklin Classical Charter Public (District),776
0449,Boston Collegiate Charter (District),723
0450,Hilltown Cooperative Charter Public (District),218
0452,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),385
0453,Holyoke Community Charter (District),702
0454,Lawrence Family Development Charter (District),786
0455,Hill View Montessori Charter Public (District),303
0456,Lowell Community Charter Public (District),803
0458,Lowell Middlesex Academy Charter (District),88
0463,KIPP Academy Boston Charter School (District),613
0464,Marblehead Community Charter Public (District),208
0466,Martha's Vineyard Charter (District),176
0468,Ma Academy for Math and Science,98
0469,MATCH Charter Public School (District),1213
0470,Mystic Valley Regional Charter (District),1629
0474,Sizer School: A North Central Charter Essential (District),366
0478,Francis W. Parker Charter Essential (District),399
0479,Pioneer Valley Performing Arts Charter Public (District),391
0480,UP Academy Charter School of Boston (District),349
0481,Boston Renaissance Charter Public (District),943
0482,River Valley Charter (District),288
0483,Rising Tide Charter Public (District),666
0484,Roxbury Preparatory Charter (District),1596
0485,Salem Academy Charter (District),495
0486,Learning First Charter Public School (District),665
0487,Prospect Hill Academy Charter (District),1107
0488,South Shore Charter Public (District),1009
0489,Sturgis Charter Public (District),853
0491,Atlantis Charter (District),1296
0492,Martin Luther King Jr. Charter School of Excellence (District),365
0493,Phoenix Charter Academy (District),221
0494,Pioneer Charter School of Science (District),794
0496,Global Learning Charter Public (District),503
0497,Pioneer Valley Chinese Immersion Charter (District),560
0498,Veritas Preparatory Charter School (District),419
0499,Hampden Charter School of Science East (District),540
0600,Acton-Boxborough,5207
0603,Hoosac Valley Regional,1035
0605,Amherst-Pelham,1283
0610,Ashburnham-Westminster,2194
0615,Athol-Royalston,1425
0616,Ayer Shirley School District,1603
0618,Berkshire Hills,1164
0620,Berlin-Boylston,1046
0622,Blackstone-Millville,1565
0625,Bridgewater-Raynham,5272
0632,Chesterfield-Goshen,101
0635,Central Berkshire,1515
0640,Concord-Carlisle,1316
0645,Dennis-Yarmouth,2739
0650,Dighton-Rehoboth,2616
0655,Dover-Sherborn,1185
0658,Dudley-Charlton Reg,3439
0660,Nauset,1426
0662,Farmington River Reg,107
0665,Freetown-Lakeville,2702
0670,Frontier,649
0672,Gateway,753
0673,Groton-Dunstable,2262
0674,Gill-Montague,846
0675,Hamilton-Wenham,1690
0680,Hampden-Wilbraham,2865
0683,Hampshire,683
0685,Hawlemont,118
0690,King Philip,1946
0695,Lincoln-Sudbury,1525
0698,Manchester Essex Regional,1264
0700,Martha's Vineyard,689
0705,Masconomet,1684
0710,Mendon-Upton,2166
0712,Monomoy Regional School District,1763
0715,Mount Greylock,1093
0717,Mohawk Trail,739
0720,Narragansett,1327
0725,Nashoba,3086
0728,New Salem-Wendell,129
0730,Northboro-Southboro,1355
0735,North Middlesex,2893
0740,Old Rochester,1130
0745,Pentucket,2224
0750,Pioneer Valley,631
0753,Quabbin,2095
0755,Ralph C Mahar,619
0760,Silver Lake,1698
0763,Somerset Berkley Regional School District,1007
0765,Southern Berkshire,645
0766,Southwick-Tolland-Granville Regional School District,1393
0767,Spencer-E Brookfield,1331
0770,Tantasqua,1771
0773,Triton,2176
0774,Up-Island Regional,398
0775,Wachusett,6584
0778,Quaboag Regional,1161
0780,Whitman-Hanson,3583
0801,Assabet Valley Regional Vocational Technical,1149
0805,Blackstone Valley Regional Vocational Technical,1231
0806,Blue Hills Regional Vocational Technical,890
0810,Bristol-Plymouth Regional Vocational Technical,1319
0815,Cape Cod Regional Vocational Technical,626
0817,Essex North Shore Agricultural and Technical School District,1564
0818,Franklin County Regional Vocational Technical,555
0821,Greater Fall River Regional Vocational Technical,1452
0823,Greater Lawrence Regional Vocational Technical,1634
0825,Greater New Bedford Regional Vocational Technical,2113
0828,Greater Lowell Regional Vocational Technical,2296
0829,South Middlesex Regional Vocational Technical,817
0830,Minuteman Regional Vocational Technical,635
0832,Montachusett Regional Vocational Technical,1417
0851,Northern Berkshire Regional Vocational Technical,506
0852,Nashoba Valley Regional Vocational Technical,726
0853,Northeast Metropolitan Regional Vocational Technical,1281
0855,Old Colony Regional Vocational Technical,563
0860,Pathfinder Regional Vocational Technical,610
0871,Shawsheen Valley Regional Vocational Technical,1308
0872,Southeastern Regional Vocational Technical,1527
0873,South Shore Regional Vocational Technical,646
0876,Southern Worcester County Regional Vocational Technical,1171
0878,Tri-County Regional Vocational Technical,953
0879,Upper Cape Cod Regional Vocational Technical,722
0885,Whittier Regional Vocational Technical,1249
0910,Bristol County Agricultural,448
0915,Norfolk County Agricultural,588
3501,Paulo Freire Social Justice Charter School (District),263
3502,Baystate Academy Charter Public School (District),469
3503,Collegiate Charter School of Lowell (District),1015
3505,UP Academy Charter School of Dorchester (District),685
3506,Pioneer Charter School of Science II (PCSS-II) (District),370
3508,Phoenix Academy Public Charter High School Springfield (District),208
3509,Argosy Collegiate Charter School (District),571
3510,Springfield Preparatory Charter School (District),378
3513,New Heights Charter School of Brockton (District),742
3514,Libertas Academy Charter School (District),260
3515,Old Sturbridge Academy Charter Public School (District),280
3516,Hampden Charter School of Science West (District),320
3517,Map Academy Charter School (District),206
3518,Phoenix Academy Public Charter High School Lawrence (District),159
3901,Greenfield Commonwealth Virtual District,943
3902,TEC Connections Academy Commonwealth Virtual School District,2514
0000,State Totals,"  911,465 "
,,
*** Data are not reported for district totals fewer than 6 students,,
