City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Abington,12/17/2020,668,170,66.6,Higher,14171,1994,183,9.18%,Higher
Acton,12/17/2020,424,79,23.8,Higher,20772,2313,88,3.80%,Lower
Acushnet,12/17/2020,459,137,93.6,Higher,9982,1890,156,8.25%,Higher
Adams,12/17/2020,98,30,26.0,Higher,6346,790,31,3.92%,Higher
Agawam,12/17/2020,1158,209,52.4,Higher,30302,3726,232,6.23%,Higher
Alford,12/17/2020,<5,0,0,No Change,140,12,0,0%,No Change
Amesbury,12/17/2020,492,127,54.7,Higher,14399,1929,143,7.41%,Higher
Amherst,12/17/2020,711,136,24.1,Higher,174529,6100,140,2.30%,Higher
Andover,12/17/2020,1154,288,57.0,Higher,48022,5533,331,5.98%,Higher
Aquinnah,12/17/2020,<5,0,0,No Change,381,23,0,0%,No Change
Arlington,12/17/2020,809,197,30.7,Higher,54477,7313,220,3.01%,No Change
Ashburnham,12/17/2020,128,35,39.8,Higher,5654,569,42,7.38%,Higher
Ashby,12/17/2020,68,7,14.3,Lower,2119,237,10,4.22%,Lower
Ashfield,12/17/2020,15,6,25.3,Higher,1206,112,6,5.36%,Higher
Ashland,12/17/2020,707,135,48.9,Higher,19429,2578,148,5.74%,Higher
Athol,12/17/2020,243,78,46.5,Higher,11138,1612,82,5.09%,Higher
Attleboro,12/17/2020,2012,410,63.0,Higher,37422,5004,457,9.13%,Lower
Auburn,12/17/2020,681,197,85.4,Higher,17645,2506,210,8.38%,Higher
Avon,12/17/2020,189,51,83.2,Higher,4015,522,52,9.96%,Higher
Ayer,12/17/2020,274,66,58.2,Higher,10756,1102,72,6.53%,Higher
Barnstable,12/17/2020,1377,258,41.2,Lower,33984,4854,284,5.85%,Lower
Barre,12/17/2020,124,30,38.5,Higher,4159,443,32,7.22%,Higher
Becket,12/17/2020,26,<5,15.9,Higher,1267,193,4,2.07%,Higher
Bedford,12/17/2020,418,51,24.3,Higher,19834,2326,58,2.49%,No Change
Belchertown,12/17/2020,313,69,30.7,Lower,16847,1825,77,4.22%,Lower
Bellingham,12/17/2020,460,106,42.0,Higher,12371,1393,112,8.04%,Higher
Belmont,12/17/2020,518,111,28.9,Higher,32684,4082,121,2.96%,Higher
Berkley,12/17/2020,267,81,84.9,Higher,5690,784,84,10.71%,Higher
Berlin,12/17/2020,75,20,44.3,Higher,3089,371,22,5.93%,Higher
Bernardston,12/17/2020,27,8,27.6,Higher,2008,224,10,4.46%,Higher
Beverly,12/17/2020,1491,325,56.5,Higher,76648,8238,385,4.67%,Higher
Billerica,12/17/2020,1610,409,66.9,Higher,39305,5650,445,7.88%,Higher
Blackstone,12/17/2020,244,65,51.4,Higher,6579,754,72,9.55%,Higher
Blandford,12/17/2020,22,<5,23.6,No Change,732,95,5,5.26%,Higher
Bolton,12/17/2020,66,13,18.4,Lower,5287,614,14,2.28%,No Change
Boston,12/17/2020,33960,6001,61.9,Higher,1732219,199322,6650,3.34%,Higher
Bourne,12/17/2020,426,91,30.9,Higher,18798,2321,97,4.18%,No Change
Boxborough,12/17/2020,76,14,19.7,Higher,4376,509,15,2.95%,Higher
Boxford,12/17/2020,199,57,53.3,Lower,8012,1272,65,5.11%,Lower
Boylston,12/17/2020,115,41,65.2,Higher,4664,641,43,6.71%,Higher
