City/Town,Report Date,Total Case Count,Total Case Rate,,,
Abington,05/06/2020,177,985,,,
Acton,05/06/2020,95,400,,,
Acushnet,05/06/2020,47,450,,,
Adams,05/06/2020,32,386,,,
Agawam,05/06/2020,333,"1,164",,,
Alford,05/06/2020,0,0,,,
Amesbury,05/06/2020,156,937,,,
Amherst,05/06/2020,60,148,,,
Andover,05/06/2020,210,583,,,
Aquinnah,05/06/2020,0,0,,,
Arlington,05/06/2020,248,541,,,
Ashburnham,05/06/2020,17,271,,,
Ashby,05/06/2020,8,231,,,
Ashfield,05/06/2020,<5,*,,,
Ashland,05/06/2020,145,744,,,
Athol,05/06/2020,41,343,,,
Attleboro,05/06/2020,480,"1,037",,,
Auburn,05/06/2020,152,922,,,
Avon,05/06/2020,56,"1,278",,,
Ayer,05/06/2020,45,557,,,
Barnstable,05/06/2020,238,531,,,
Barre,05/06/2020,42,756,,,
Becket,05/06/2020,11,611,,,
Bedford,05/06/2020,190,"1,275",,,
Belchertown,05/06/2020,69,433,,,
Bellingham,05/06/2020,96,537,,,
Belmont,05/06/2020,182,667,,,
Berkley,05/06/2020,41,605,,,
Berlin,05/06/2020,14,438,,,
Bernardston,05/06/2020,6,287,,,
Beverly,05/06/2020,440,"1,069",,,
Billerica,05/06/2020,401,920,,,
Blackstone,05/06/2020,29,321,,,
Blandford,05/06/2020,0,0,,,
Bolton,05/06/2020,10,198,,,
Boston,05/06/2020,"10,729","1,544",,,
Bourne,05/06/2020,124,593,,,
Boxborough,05/06/2020,19,372,,,
Boxford,05/06/2020,30,389,,,
Boylston,05/06/2020,13,290,,,
Braintree,05/06/2020,668,"1,697",,,
Brewster,05/06/2020,91,918,,,
Bridgewater,05/06/2020,287,"1,009",,,
Brimfield,05/06/2020,<5,*,,,
Brockton,05/06/2020,"3,179","3,236",,,
Brookfield,05/06/2020,8,218,,,
Brookline,05/06/2020,308,478,,,
Buckland,05/06/2020,7,376,,,
Burlington,05/06/2020,201,727,,,
Cambridge,05/06/2020,826,732,,,
Canton,05/06/2020,239,"1,036",,,
Carlisle,05/06/2020,9,189,,,
Carver,05/06/2020,38,312,,,
Charlemont,05/06/2020,0,0,,,
Charlton,05/06/2020,45,320,,,
Chatham,05/06/2020,10,171,,,
Chelmsford,05/06/2020,283,787,,,
Chelsea,05/06/2020,"2,244","5,958",,,
Cheshire,05/06/2020,<5,*,,,
Chester,05/06/2020,5,368,,,
Chesterfield,05/06/2020,<5,*,,,
Chicopee,05/06/2020,288,505,,,
Chilmark,05/06/2020,<5,*,,,
Clarksburg,05/06/2020,7,416,,,
Clinton,05/06/2020,135,959,,,
Cohasset,05/06/2020,20,270,,,
Colrain,05/06/2020,<5,*,,,
Concord,05/06/2020,133,710,,,
Conway,05/06/2020,<5,*,,,
Cummington,05/06/2020,<5,*,,,
Dalton,05/06/2020,7,107,,,
Danvers,05/06/2020,539,"1,888",,,
Dartmouth,05/06/2020,205,557,,,
Dedham,05/06/2020,290,"1,069",,,
Deerfield,05/06/2020,6,113,,,
Dennis,05/06/2020,54,408,,,
Dighton,05/06/2020,44,561,,,
Douglas,05/06/2020,29,309,,,
Dover,05/06/2020,14,269,,,
Dracut,05/06/2020,349,"1,080",,,
Dudley,05/06/2020,57,460,,,
Dunstable,05/06/2020,7,210,,,
